n,generations,population_size,selection_type,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,100,100,elitist,swap,0.6000000000000001,pmx,0.6000000000000001,7089.75,6473.75,0.0053,0.0013,616.0,9.515350453755545,0.2411799009200283
5,100,100,elitist,swap,0.8000000000000002,pmx,0.6000000000000001,6965.25,6473.75,0.0053,0.0013,491.5,7.592199266267613,0.24523680849149948
5,100,100,elitist,swap,0.4,pmx,0.8000000000000002,6880.25,6473.75,0.0061,0.0013,406.5,6.279204479629271,0.21095659844469378
5,100,100,elitist,swap,0.6000000000000001,pmx,0.8000000000000002,6880.25,6473.75,0.0060,0.0013,406.5,6.279204479629271,0.21369318074933374
5,100,100,elitist,swap,0.8000000000000002,pmx,0.8000000000000002,7029.75,6473.75,0.0056,0.0013,556.0,8.588530604363783,0.2284957968402967
5,100,100,elitist,swap,0.4,order,0.4,7289.75,6473.75,0.0046,0.0013,816.0,12.604749951728138,0.2815114461252517
5,100,100,elitist,swap,0.6000000000000001,order,0.4,7419.75,6473.75,0.0044,0.0013,946.0,14.612859625410309,0.2933553128530693
5,100,100,elitist,swap,0.8000000000000002,order,0.4,7253.75,6473.75,0.0040,0.0013,780.0,12.048658042093066,0.3212321904088606
5,100,100,elitist,swap,0.4,order,0.6000000000000001,7109.75,6473.75,0.0052,0.0013,636.0,9.824290403552808,0.24634477274780878
5,100,100,elitist,swap,0.6000000000000001,order,0.6000000000000001,7119.75,6473.75,0.0050,0.0013,646.0,9.97876037845144,0.2553430364334551
5,100,100,elitist,swap,0.8000000000000002,order,0.6000000000000001,7168.25,6473.75,0.0053,0.0013,694.5,10.727939756709787,0.2415431558430052
5,100,100,elitist,swap,0.4,order,0.8000000000000002,6929.25,6473.75,0.0064,0.0013,455.5,7.036107356632556,0.20306860824550296
5,100,100,elitist,swap,0.6000000000000001,order,0.8000000000000002,7029.75,6473.75,0.0063,0.0013,556.0,8.588530604363783,0.20577383953505923
5,100,100,elitist,swap,0.8000000000000002,order,0.8000000000000002,7089.75,6473.75,0.0056,0.0013,616.0,9.515350453755545,0.22860117390575213
5,100,100,elitist,insert,0.4,pmx,0.4,7251.75,6473.75,0.0051,0.0013,778.0,12.017764047113346,0.2500616922724146
5,100,100,elitist,insert,0.6000000000000001,pmx,0.4,7109.75,6473.75,0.0042,0.0013,636.0,9.824290403552808,0.30680819266261533
5,100,100,elitist,insert,0.8000000000000002,pmx,0.4,7217.25,6473.75,0.0040,0.0013,743.5,11.484842633713072,0.3179912054586808
5,100,100,elitist,insert,0.4,pmx,0.6000000000000001,6929.25,6473.75,0.0061,0.0013,455.5,7.036107356632556,0.21098925047401618
5,100,100,elitist,insert,0.6000000000000001,pmx,0.6000000000000001,7089.75,6473.75,0.0057,0.0013,616.0,9.515350453755545,0.2260611608623549
5,100,100,elitist,insert,0.8000000000000002,pmx,0.6000000000000001,6965.25,6473.75,0.0050,0.0013,491.5,7.592199266267613,0.25847808485423085
5,100,100,elitist,insert,0.4,pmx,0.8000000000000002,6860.25,6473.75,0.0065,0.0013,386.5,5.970264529832008,0.19779429027460368
5,100,100,elitist,insert,0.6000000000000001,pmx,0.8000000000000002,6857.75,6473.75,0.0061,0.0013,384.0,5.93164703610735,0.2102164854653404
5,100,100,elitist,insert,0.8000000000000002,pmx,0.8000000000000002,7029.75,6473.75,0.0057,0.0013,556.0,8.588530604363783,0.22742837122002085
5,100,100,elitist,insert,0.4,order,0.4,7349.25,6473.75,0.0044,0.0013,875.5,13.523846302374977,0.2951337050067659
5,100,100,elitist,insert,0.6000000000000001,order,0.4,7244.25,6473.75,0.0044,0.0013,770.5,11.901911565939372,0.2913022331445667
5,100,100,elitist,insert,0.8000000000000002,order,0.4,7323.75,6473.75,0.0039,0.0013,850.0,13.129947866383475,0.33016016954283983
5,100,100,elitist,insert,0.4,order,0.6000000000000001,7168.25,6473.75,0.0055,0.0013,694.5,10.727939756709787,0.23482322136089576
5,100,100,elitist,insert,0.6000000000000001,order,0.6000000000000001,7119.75,6473.75,0.0049,0.0013,646.0,9.97876037845144,0.26429136735979836
5,100,100,elitist,insert,0.8000000000000002,order,0.6000000000000001,7251.75,6473.75,0.0051,0.0013,778.0,12.017764047113346,0.25184033993810906
5,100,100,elitist,insert,0.4,order,0.8000000000000002,7029.75,6473.75,0.0061,0.0013,556.0,8.588530604363783,0.20985241119193318
5,100,100,elitist,insert,0.6000000000000001,order,0.8000000000000002,6880.25,6473.75,0.0060,0.0013,406.5,6.279204479629271,0.21660490207762284
5,100,100,elitist,insert,0.8000000000000002,order,0.8000000000000002,6929.25,6473.75,0.0056,0.0013,455.5,7.036107356632556,0.2305244662410688
5,100,100,elitist,scramble,0.4,pmx,0.4,7168.25,6473.75,0.0045,0.0013,694.5,10.727939756709787,0.2877358944591029
5,100,100,elitist,scramble,0.6000000000000001,pmx,0.4,7217.25,6473.75,0.0044,0.0013,743.5,11.484842633713072,0.29227032590051455
5,100,100,elitist,scramble,0.8000000000000002,pmx,0.4,7251.75,6473.75,0.0041,0.0013,778.0,12.017764047113346,0.31147007883011535
5,100,100,elitist,scramble,0.4,pmx,0.6000000000000001,6929.25,6473.75,0.0055,0.0013,455.5,7.036107356632556,0.23284772601101764
5,100,100,elitist,scramble,0.6000000000000001,pmx,0.6000000000000001,6965.25,6473.75,0.0052,0.0013,491.5,7.592199266267613,0.24986688662817338
