n,generations,population_size,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,500,100,scramble,0.5,order,0.4,7709.75,6473.75,0.1530,0.0013,1236.0,19.09248889747056,0.008496262177373613
5,500,100,scramble,0.2,order,0.6,6633.75,6473.75,0.1676,0.0013,160.0,2.471519598378066,0.007754912354309039
5,500,100,scramble,0.4,order,0.6,6880.25,6473.75,0.1943,0.0013,406.5,6.279204479629271,0.006688478966465576
5,500,100,scramble,0.5,order,0.6,7727.75,6473.75,0.2099,0.0013,1254.0,19.37053485228809,0.006191585722299312
5,500,100,scramble,0.2,order,0.8,6633.75,6473.75,0.2104,0.0013,160.0,2.471519598378066,0.006175827874952004
5,500,100,scramble,0.4,order,0.8,6671.75,6473.75,0.2525,0.0013,198.0,3.0585055029928583,0.005146565005101641
5,500,100,scramble,0.5,order,0.8,7253.75,6473.75,0.2662,0.0013,780.0,12.048658042093066,0.004882718478248216
5,500,100,reverse,0.2,pmx,0.4,6473.75,6473.75,0.1123,0.0013,0.0,0.0,0.011567425510474674
5,500,100,reverse,0.4,pmx,0.4,6473.75,6473.75,0.1363,0.0013,0.0,0.0,0.009533492440653843
5,500,100,reverse,0.5,pmx,0.4,6496.25,6473.75,0.1486,0.0013,22.5,0.3475574435219215,0.008747946735119526
5,500,100,reverse,0.2,pmx,0.6,6473.75,6473.75,0.1580,0.0013,0.0,0.0,0.008227078800534731
5,500,100,reverse,0.4,pmx,0.6,6581.75,6473.75,0.1982,0.0013,108.0,1.6682757289052006,0.006557138648140643
5,500,100,reverse,0.5,pmx,0.6,6707.75,6473.75,0.2174,0.0013,234.0,3.6145974126279157,0.005978224621632408
5,500,100,reverse,0.2,pmx,0.8,6473.75,6473.75,0.2048,0.0013,0.0,0.0,0.006345251530572465
5,500,100,reverse,0.4,pmx,0.8,6496.25,6473.75,0.2403,0.0013,22.5,0.3475574435219215,0.005409889532034123
5,500,100,reverse,0.5,pmx,0.8,7089.75,6473.75,0.2582,0.0013,616.0,9.515350453755545,0.005032943350492578
